ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
228516131,5049,39308,,,,,,2.0,K48,01/06/1986,01/12/1988,1986,1988,,Renault,21 Break,,,,,,,,,,,85 KW,116 PS,,1995.0,,,,,,Jerome,Ebay,True,
228516381,13967,39309,,,,,,1.4,P6,01/03/1980,01/04/1989,1980,1989,,Renault,Trafic Camion Plate-Forme/Châssis,,,,,,,,,,,35 KW,48 PS,3.2L,1397.0,,,,,,Jerome,Ebay,True,
228516501,5648,39310,,,,,,1.6i,LA0/1,01/09/1996,01/03/1999,1996,1999,,Renault,Megane I Classic,,,,,,,,,,,55 KW,75 PS,9.5L,1598.0,,,,,,Jerome,Ebay,C4C updated,C4C_40218
228517741,5348,39311,,,,,,2.0i,DA0/1,01/03/1996,01/08/2003,1996,2003,,Renault,Megane I Coach,,,,,,,,,,,84 KW,114 PS,2.2L,1998.0,,,,,,Jerome,Ebay,True,
228519311,5046,39312,,,,,,1.2,L42,01/09/1985,01/12/1988,1985,1988,,Renault,9,,,,,,,,,,,40 KW,54 PS,,1237.0,,,,,,Jerome,Ebay,C4C updated,C4C_40388
228520571,11185,39313,,,,,,1.6,--,01/03/1972,01/10/1980,1972,1980,,Renault,17,,,,,,,,,,,66 KW,90 PS,,1565.0,,,,,,Jerome,Ebay,C4C updated,
228521731,3766,39314,,,,,,2.1 dT,B54,01/11/1993,01/07/1996,1993,1996,,Renault,Safrane I,,,,,,,,,,,65 KW,88 PS,,2068.0,,,,,,Jerome,Ebay,C4C updated,C4C_40254
228522161,12427,39315,,,,,,1.1,213,01/02/1962,01/12/1981,1962,1981,,Renault,Estafette,,,,,,,,,,,29 KW,39 PS,,1108.0,,,,,,Jerome,Ebay,C4C updated,C4C_40510
228523161,27111,39316,,,,,,2.2,L48,01/04/1986,01/06/1989,1986,1989,,Renault,21 A Trois Volumes,,,,,,,,,,,81 KW,110 PS,,2165.0,,,,,,Jerome,Ebay,True,
228524101,116845,39317,,,,,,1.6 16V,LA0/1,01/09/1999,01/12/2001,1999,2001,,Renault,Megane I Classic,,,,,,,,,,,81 KW,110 PS,9.1L,1598.0,,,,,,Jerome,Ebay,True,
228524191,24191,39318,,,,,,1.7,L53,01/01/1993,01/08/1995,1993,1995,,Renault,19 II Chamade,,,,,,,,,,,68 KW,92 PS,,1721.0,,,,,,Jerome,Ebay,True,
228525381,7949,39319,,,,,,2.0,"T5, T6, T7",01/06/1986,01/04/1989,1986,1989,,Renault,Trafic Autobus/Autocar,,,,,,,,,,,59 KW,80 PS,3.2L,1995.0,,,,,,Jerome,Ebay,True,
228525561,5647,39320,,,,,,1.9 TDi,LA0/1,01/09/1996,01/08/2003,1996,2003,,Renault,Megane I Classic,,,,,,,,,,,69 KW,94 PS,7.5L,1870.0,,,,,,Jerome,Ebay,True,
228525601,21359,39321,,,,,,2.1 RTdT Quadra,J/S63,01/01/1991,01/05/1992,1991,1992,,Renault,Espace II,,,,,,,,,,,65 KW,88 PS,,2068.0,,,,,,Jerome,Ebay,True,
228570705,10084,39322,,,,,,2.8 dTi,ED/HD/UD,01/07/1998,01/10/2001,1998,2001,,Renault,Master II Camion Plate-Forme/Châssis,,,,,,,,,,,84 KW,114 PS,,2799.0,,,,,,Jerome,Ebay,True,
